Service_Name (filename2),provider_name (filename1),Physical_Address (filename2),formatted_address (filename1),residential_places (filename2),residential_places (filename1)
Aegis Balmoral,Aegis Balmoral,"29 Gardner STREET, COMO, WA, 6152","29 Gardner St, Como WA 6152, Australia",213,213
Mercy Community Services - Emmaus,Mercy Community Services - Emmaus,"131 Queens ROAD, NUDGEE, QLD, 4014","131 Queens Rd, Nudgee QLD 4014, Australia",209,209
Coppin Centre,Coppin Centre,"45 Moubray STREET, MELBOURNE, VIC, 3004","45 Moubray St, Melbourne VIC 3004, Australia",207,207
Anglicare Brian King Gardens,Anglicare Brian King Gardens,"1 Hilliard DRIVE, CASTLE HILL, NSW, 2154","1A Hilliard Dr, Castle Hill NSW 2154, Australia",203,203
Regis Blackburn,Regis Blackburn,"40 Central ROAD, BLACKBURN, VIC, 3130","Regis Lake Park, 40 Central Rd, Blackburn VIC 3130, Australia",202,202
IRT Woonona,IRT Woonona,"6 Popes ROAD, WOONONA, NSW, 2517","4-6 Popes Rd, Woonona NSW 2517, Australia",201,201
Cardinia Community Aged Care,Cardinia Community Aged Care,"20 A Tivendale ROAD, OFFICER, VIC, 3809","20A Tivendale Rd, Officer VIC 3809, Australia",198,198
Uniting Nareen Gardens Bateau Bay,Uniting Nareen Gardens Bateau Bay low care,"5 Yakalla STREET, BATEAU BAY, NSW, 2261","Nareen Gardens Hostel, 5 Yakalla St, Bateau Bay NSW 2261, Australia",195,195
St Basil's Lakemba,St Basil's Lakemba,"300 Haldon STREET, LAKEMBA, NSW, 2195","300 Haldon St, Lakemba NSW 2195, Australia",195,195
Ashwood Residential Care Service,Ashwood Residential Care Service,"280 Dunmore STREET, PENDLE HILL, NSW, 2145","222-266 Dunmore St, Pendle Hill NSW 2145, Australia",194,194
Regis Redlynch,Regis Redlynch,"15 Short STREET, REDLYNCH, QLD, 4870","15 Short St, Redlynch QLD 4870, Australia",194,194
McKellar Centre,McKellar Centre,"45-95 Ballarat ROAD, NORTH GEELONG, VIC, 3215","45-95 Ballarat Rd, North Geelong VIC 3215, Australia",193,193
Villa Terenzio,Villa Terenzio,"33 Kent ROAD, MARANGAROO, WA, 6064","Italian Community Nursing Home, 33 Kent Rd, Marangaroo WA 6064, Australia",192,192
Regis Burnside,Regis Burnside,"6 Booth AVENUE, LINDEN PARK, SA, 5065","6 Booth Ave, Linden Park SA 5065, Australia",191,191
Wagga Wagga Community Aged Care,Wagga Wagga Community Aged Care,"14 COLLEGE STREET, TURVEY PARK, NSW, 2650","14 College Ave, Turvey Park NSW 2650, Australia",191,191
Marina Residential Aged Care Service,Marina Residential Aged Care Service,"385 Blackshaws ROAD, ALTONA NORTH, VIC, 3025","385 Blackshaws Rd, Altona North VIC 3025, Australia",190,190
Nellie Melba Retirement Village,Nellie Melba Retirement Village,"2 Collegium AVENUE, WHEELERS HILL, VIC, 3150","2 Collegium Ave, Wheelers Hill VIC 3150, Australia",190,190
MiCare Prins Willem Alexander Lodge,MiCare Prins Willem Alexander Lodge,"62 Collingwood ROAD, BIRKDALE, QLD, 4159","Prins Willem Alexander Village, 62 Collingwood Rd, Birkdale QLD 4159, Australia",189,189
Uniting AgeWell Strathdon Community,Uniting AgeWell Strathdon Community,"17 Jolimont ROAD, FOREST HILL, VIC, 3131","17 Jolimont Rd, Forest Hill VIC 3131, Australia",187,187
Faversham House,Faversham House,"27 Shierlaw AVENUE, CANTERBURY, VIC, 3126","27 Shierlaw Ave, Canterbury VIC 3126, Australia",185,185
Regis Caboolture,Regis Caboolture,"65 Mewett STREET, CABOOLTURE, QLD, 4510","65 Mewett St, Caboolture QLD 4510, Australia",185,185
Maryborough Community Aged Care,Maryborough Community Aged Care,"15 Lindah ROAD,  EAST, TINANA, QLD, 4650","15 Iindah Rd, Tinana QLD 4650, Australia",185,185
Fullarton Lutheran Homes,Lutheran Homes Group Fullarton,"14 Frew STREET, FULLARTON, SA, 5063","14 Frew St, Fullarton SA 5063, Australia",184,184
Moran Sylvania,Moran Sylvania,"29 Sylvania ROAD, SYLVANIA, NSW, 2224","29 Sylvania Rd, Sylvania NSW 2224, Australia",183,183
Tingira Hills Care Community,Tingira Hills Care Community,"3 Violet Town ROAD, MOUNT HUTTON, NSW, 2290","Hillside Assisted Aprtmts, 3 Violet Town Rd, Mount Hutton NSW 2290, Australia",182,182
AdventCare Whitehorse,AdventCare Whitehorse,"163-165 Central ROAD, NUNAWADING, VIC, 3131","163-165 Central Rd, Nunawading VIC 3131, Australia",182,182
The Whiddon Group - Redhead,Whiddon Redhead,"120 Redhead ROAD, REDHEAD, NSW, 2290","120 Redhead Rd, Redhead NSW 2290, Australia",180,180
Anglicare The Donald Coburn Centre,Anglicare The Donald Coburn Centre,"15 Blue Gums WAY, CASTLE HILL, NSW, 2154","15 Blue Gums Way, Castle Hill NSW 2154, Australia",180,180
BlueCross Ivanhoe,Ivanhoe Grand Care Community,"250-260 Waterdale ROAD, IVANHOE, VIC, 3079","250 Waterdale Rd, Ivanhoe VIC 3079, Australia",180,180
Oxa Care,Oxa Care,"513 High STREET, EPPING, VIC, 3076","513 High St, Epping VIC 3076, Australia",180,180
Homewood Residential Aged Care,Homewood Residential Aged Care,"8 Young ROAD, HALLAM, VIC, 3803","8 Young Rd, Hallam VIC 3803, Australia",180,180
Calvary Noosa,Estia Health Noosa,"119-123 Moorindil STREET, TEWANTIN, QLD, 4565","Noosa Nursing Home, 119 Moorindil St, Tewantin QLD 4565, Australia",180,180
Sunlight Residential Aged Care,Sunlight Residential Aged Care,"43 Laurel STREET, WHITTLESEA, VIC, 3757","43 Laurel St, Whittlesea VIC 3757, Australia",180,180
Forest Lodge Residential Aged Care,Forest Lodge Residential Aged Care,"23 Forest DRIVE, FRANKSTON NORTH, VIC, 3200","23 Forest Dr, Frankston North VIC 3200, Australia",180,180
Warralily Gardens,Warralily Gardens,"2-28 Freda ROAD, ARMSTRONG CREEK, VIC, 3217","2/28 Freda Rd, Armstrong Creek VIC 3217, Australia",180,180
NA,Warrina Vales Residential Aged Care,NA,"60 States Rd, Morphett Vale SA 5162, Australia",NA,180
St Vincent Care Services Carseldine,St Vincent Care Services Carseldine,"736 Beams ROAD, CARSELDINE, QLD, 4034","Holy Spirit Home, 736 Beams Rd, Carseldine QLD 4034, Australia",179,179
Adventist Retirement Village - Victoria Pt,Adventist Retirement Village - Victoria Pt,"571 Cleveland-Redland Bay ROAD, VICTORIA POINT, QLD, 4165","571 Cleveland-Redland Bay Rd, Victoria Point QLD 4165, Australia",179,179
Cumberland View Aged Care - Whalley Drive,Cumberland View Aged Care - Whalley Drive,"123-127 Whalley DRIVE, WHEELERS HILL, VIC, 3150","123-127 Whalley Dr, Wheelers Hill VIC 3150, Australia",178,178
Acacia Living Group Menora Gardens Aged Care Facility,Acacia Living Group Menora Gardens Aged Care Facil,"51 Alexander DRIVE, MENORA, WA, 6050","51 Alexander Dr, Menora WA 6050, Australia",178,178
Umina Park Home For The Aged,Umina Park Home For The Aged,"22-42 Mooreville ROAD, BURNIE, TAS, 7320","22-24 Mooreville Rd, Shorewell Park TAS 7320, Australia",178,178
Bethania Parklands Care Community,Bethania Parklands Care Community,"27 Clarendon AVENUE, BETHANIA, QLD, 4205","Jeta Gardens, 27 Clarendon Ave, Bethania QLD 4205, Australia",178,178
The Whiddon Group - Glenfield - Easton Park,Whiddon Glenfield Easton Park,"81 Belmont ROAD, GLENFIELD, NSW, 2167","81 Belmont Rd, Glenfield NSW 2167, Australia",177,177
Estia Health Camden,Estia Health Camden,"82 Old Hume HIGHWAY, CAMDEN, NSW, 2570","82 Old Hume Hwy, Camden NSW 2570, Australia",176,176
Russian Relief Association of St Sergius of Radonezh,Russian Relief Association of St Sergius of Radone,"1 Gilbert STREET, CABRAMATTA, NSW, 2166","St Sergius Aged Care, 1 Gilbert St, Cabramatta NSW 2166, Australia",176,176
Warrigal Hughes,Warrigal Hughes,"95 Groom STREET, HUGHES, ACT, 2605","St Andrews Village Hostel, 95 Groom St, Hughes ACT 2605, Australia",176,176
St Vincent's Care Services Mitchelton,St Vincent's Care Services Mitchelton,"60 Church ROAD, MITCHELTON, QLD, 4053","46 Church Road, Mitchelton QLD 4053, Australia",176,176
Ozcare Villa Vincent,Ozcare Villa Vincent,"2 Acacia STREET, MUNDINGBURRA, QLD, 4812","2 Acacia St, Mundingburra QLD 4812, Australia",175,175
NA,Carramar Aged Care,NA,"Carramar Retirement Home, 186 Cooroy Noosa Rd, Tewantin QLD 4565, Australia",NA,175
HammondCare - Bond House,HammondCare Hammondville,"8-10 Judd AVENUE, HAMMONDVILLE, NSW, 2170","Judd Ave, Hammondville NSW 2170, Australia",174,174
Bolton Clarke Charles Young,Bolton Clarke Charles Young,"53 Austral TERRACE, MORPHETTVILLE, SA, 5043","53 Austral Terrace, Morphettville SA 5043, Australia",173,173
Our Lady Of Consolation Home,Our Lady Of Consolation Home,"32 Evans ROAD, ROOTY HILL, NSW, 2766","32 Evans Rd, Rooty Hill NSW 2766, Australia",172,172
Sunnymeade Park Aged Care Community,Sunnymeade Park Aged Care Community,"362-376 King STREET, CABOOLTURE, QLD, 4510","Sunnymeade Park Villas, 362-376 King St, Caboolture QLD 4510, Australia",172,172
Macleay Valley House,Macleay Valley House,"94 Macleay STREET, FREDERICKTON, NSW, 2440","94 Macleay St, Frederickton NSW 2440, Australia",172,172
Huntingdon Gardens Aged Care Facility,Huntingdon Gardens Aged Care Facility,"13 CONNEMARRA STREET, BEXLEY, NSW, 2207","11 Connemarra St, Bexley NSW 2207, Australia",171,171
Bundaleer Lodge Nursing Home,Bundaleer Lodge Nursing Home,"100 Holdsworth ROAD, NORTH IPSWICH, QLD, 4305","114 Holdsworth Rd, North Ipswich QLD 4305, Australia",171,171
Derwent Views,Derwent Views,"7 Ballawinnie ROAD, LINDISFARNE, TAS, 7015","7 Ballawinnie Rd, Lindisfarne TAS 7015, Australia",171,171
Regis Dandenong North,Regis Dandenong North,"5 Bakers ROAD, DANDENONG NORTH, VIC, 3175","5 Bakers Rd, Dandenong North VIC 3175, Australia",171,171
NA,Anglicare Goodhew Gardens & Bay Breeze,NA,"2-28 Alexander Ave, Taren Point NSW 2229, Australia",NA,171
Emmy Monash Aged Care,Emmy Monash Aged Care,"518-526 Dandenong ROAD, CAULFIELD NORTH, VIC, 3161","518-526 Dandenong Rd, Caulfield North VIC 3161, Australia",170,170
Waverley Valley Care Community,Waverley Valley Care Community,"29-33 Chesterville ROAD, GLEN WAVERLEY, VIC, 3150","29-33 Chesterville Rd, Glen Waverley VIC 3150, Australia",170,170
The Philip Kennedy Centre Residential Care,The Philip Kennedy Centre Residential Care,"477-479 Military ROAD, LARGS BAY, SA, 5016","477-479 Military Rd, Largs Bay SA 5016, Australia",170,170
Bentons Lodge - Residential Aged Service,Bentons Lodge - Residential Aged Service,"197 Bentons ROAD, MORNINGTON, VIC, 3931","197 Bentons Rd, Mornington VIC 3931, Australia",170,170
Jindalee Aged Care Residence,Jindalee Aged Care Residence,"277 Goyder STREET, NARRABUNDAH, ACT, 2604","277 Goyder St, Narrabundah ACT 2604, Australia",169,169
Estia Health Ringwood,Estia Health Ringwood,"211-217 Wantirna ROAD, RINGWOOD, VIC, 3134","211 Wantirna Rd, Ringwood VIC 3134, Australia",169,169
Aegis Shoalwater,Aegis Shoalwater,"72 4th AVENUE, SHOALWATER, WA, 6169","72 Fourth Ave, Shoalwater WA 6169, Australia",169,169
Pathways Cronulla Pines,Pathways Cronulla Pines,"31-35 Sturt ROAD, CRONULLA, NSW, 2230","35 Sturt Rd, Cronulla NSW 2230, Australia",169,169
Green Hills Residential Care Service,Green Hills Residential Care Service,"7 Martin CLOSE, EAST MAITLAND, NSW, 2323","7 Martin Cl, East Maitland NSW 2323, Australia",168,168
UnitingSA Wesley House Aged Care,UnitingSA Wesley House Aged Care,"324 Military ROAD, SEMAPHORE PARK, SA, 5019","324 Military Rd, Semaphore Park SA 5019, Australia",168,168
Marco Polo Woonona Care Services,Marco Polo Woonona Care Services,"11 Watergum WAY, WOONONA, NSW, 2517","11 Watergum Way, Woonona NSW 2517, Australia",168,168
Calvary Narracan Gardens,Calvary Narracan Gardens,"17 Amaroo WAY, NEWBOROUGH, VIC, 3825","17 Amaroo Way, Newborough VIC 3825, Australia",167,167
Riverview Gardens Aged Care Plus Centre,Riverview Gardens Aged Care Plus Centre,"2 MOGGILL FERRY ROAD, RIVERVIEW, QLD, 4303","2 Moggill Ferry Rd, Riverview QLD 4303, Australia",167,167
Good Shepherd Lodge,Good Shepherd Lodge,"15 McIntyre STREET, MACKAY, QLD, 4740","15 McIntyre St, East Mackay QLD 4740, Australia",167,167
Marco Polo Aged Care Facility,Marco Polo Aged Care Facility,"70 Waples ROAD, UNANDERRA, NSW, 2526","Marco Polo Nursing Home, 70 Waples Rd, Unanderra NSW 2526, Australia",167,167
Ozcare Ozanam Villa - Burleigh,Ozcare Ozanam Villa - Burleigh,"20 Matilda STREET, BURLEIGH HEADS, QLD, 4220","Ozanam Hostel, 20 Matilda St, Burleigh Heads QLD 4220, Australia",167,167
TriCare Cypress Gardens Aged Care Residence,TriCare Cypress Gardens Aged Care Residence,"Gooding DRIVE, CLEAR ISLAND WATERS, QLD, 4226","421 Gooding Dr, Clear Island Waters QLD 4226, Australia",166,166
Bupa Tugun,Bupa Tugun,"UNKNOWN 6, Croft Ct, 50-52 Mirreen DRIVE, TUGUN, QLD, 4224","6 Croft Court, Tugun QLD 4224, Australia",166,166
Warrigal Care Goulburn,Warrigal Care Goulburn,"7 St Aubyn ROAD, GOULBURN, NSW, 2580","7 St Aubyn Rd, Goulburn NSW 2580, Australia",165,165
Estia Health Kilbride,Estia Health Kilbride,"70 Glendower STREET, GILEAD, NSW, 2560","70 Glendower St, Gilead NSW 2560, Australia",164,164
Bolton Clarke Fernhill,Bolton Clarke Fernhill,"103 King STREET, CABOOLTURE, QLD, 4510","81-103 King St, Caboolture QLD 4510, Australia",164,164
Lutheran Services - Cooinda Aged Care Centre,Lutheran Services - Cooinda Aged Care Centre,"2 Cooinda STREET, GYMPIE, QLD, 4570","2 Cooinda St, Gympie QLD 4570, Australia",164,164
BaptistCare Shalom Centre,BaptistCare Shalom Centre,"159-165 Balaclava ROAD, MACQUARIE PARK, NSW, 2113","159 Balaclava Rd, Macquarie Park NSW 2113, Australia",164,164
Craigcare Ascot Waters,Craigcare Ascot Waters,"2 Waterway CRESCENT, ASCOT, WA, 6104","2 Waterway Cres, Ascot WA 6104, Australia",164,164
Calvary Millward,Calvary Millward,"31 Blackburn ROAD, DONCASTER EAST, VIC, 3109","31 Blackburn Rd, Doncaster East VIC 3109, Australia",163,163
Bene Aged Care - The Italian Village,Bene Aged Care - The Italian Village,"6 Mumford AVENUE, ST AGNES, SA, 5097","Italian Village, 6 Mumford Ave, St Agnes SA 5097, Australia",163,163
Killarney Vale Care Community,Killarney Vale Care Community,"1 Daniel CLOSE, KILLARNEY VALE, NSW, 2261","1 Daniel Cl, Killarney Vale NSW 2261, Australia",162,162
TriCare Kawana Waters Aged Care Residence,TriCare Kawana Waters Aged Care Residence,"3 RIVERAINE AVENUE, WARANA, QLD, 4575","Kawana QLD, Australia",162,162
Regis Sandgate - Lucinda,Regis Sandgate - Lucinda,"60 Wakefield STREET, SANDGATE, QLD, 4017","60 Wakefield St, Sandgate QLD 4017, Australia",162,162
Karingal Green,Karingal Green,"Karingal Green Estate, 53 Hawkevale ROAD, HIGH WYCOMBE, WA,","53 Hawkevale Rd, High Wycombe WA 6057, Australia",162,162
Rathdowne Place,Rathdowne Place,"497-513 Rathdowne STREET, CARLTON, VIC, 3053","497-513 Rathdowne St, Carlton VIC 3053, Australia",162,162
Lansdowne Aged Care Facility,Lansdowne Aged Care Facility,"25 Lovoni STREET, CABRAMATTA, NSW, 2166","25 Lovoni St, Cabramatta NSW 2166, Australia",161,161
BaptistCare Griffith,BaptistCare Griffith,"45 Blaxland CRESCENT, GRIFFITH, ACT, 2603","45 Blaxland Cres, Griffith ACT 2603, Australia",161,161
Blue Care Labrador Aged Care Facility,Blue Care Labrador Aged Care Facility,"18 Ahern STREET, LABRADOR, QLD, 4215","83 Muir St, Labrador QLD 4215, Australia",161,161
Regis Greenbank,Regis Greenbank,"271 MIDDLE ROAD, BORONIA HEIGHTS, QLD, 4124","Greenbank QLD 4124, Australia",161,161
Langwarrin Community Aged Care,Langwarrin Community Aged Care,"74 Potts ROAD, LANGWARRIN, VIC, 3910","74 Potts Rd, Langwarrin VIC 3910, Australia",161,161
BaptistCare Kularoo Centre,BaptistCare Kularoo Centre,"84-86 Kularoo DRIVE, FORSTER, NSW, 2428","84-86 Kularoo Dr, Forster NSW 2428, Australia",160,160
IRT William Beach Gardens,IRT William Beach Gardens,"286 Kanahooka ROAD, KANAHOOKA, NSW, 2530","William Beach Gardens, 286 Kanahooka Rd, Kanahooka NSW 2530, Australia",160,160
Berkeley Vale Care Community,Berkeley Vale Care Community,"8 Lorraine AVENUE, BERKELEY VALE, NSW, 2261","8 Lorraine Ave, Berkeley Vale NSW 2261, Australia",160,160
Ozcare Innisfail,Ozcare Innisfail,"Warrina STREET, INNISFAIL, QLD, 4860","1 Warrina St, Goondi Hill QLD 4860, Australia",160,160
SwanCare Kingia/Tandara,SwanCare Kingia/Tandara,"5 Allen COURT, BENTLEY, WA, 6102","5 Allen Ct, Bentley WA 6102, Australia",160,160
Bethanie Fields,Bethanie Fields,"111 Eaton DRIVE, EATON, WA, 6232","111 Eaton Dr, Eaton WA 6232, Australia",160,160
Bethanie Beachside,Bethanie Beachside,"629 Two Rocks ROAD, YANCHEP, WA, 6035","Bethanie Beachside Villas, 629 Two Rocks Rd, Yanchep WA 6035, Australia",160,160
Bethanie Waters,Bethanie Waters,"18 Olivenza CRESCENT, PORT KENNEDY, WA, 6172","18 Olivenza Cres, Port Kennedy WA 6172, Australia",160,160
Noble Manor Residential Aged Care,Noble Manor Residential Aged Care,"33 Frank STREET, NOBLE PARK, VIC, 3174","33 Frank St, Noble Park VIC 3174, Australia",160,160
Bella Vista Gardens,Bella Vista Gardens,"16 Fairway DRIVE, KELLYVILLE, NSW, 2155","16 Fairway Dr, Norwest NSW 2153, Australia",160,160
Palm Lake Care Bargara,Palm Lake Care Bargara,"39 Wearing ROAD, BARGARA, QLD, 4670","55 Wearing Rd, Bargara QLD 4670, Australia",160,160
Hill View House Aged Care Facility,Hill View House Aged Care Facility,"45 Hillview STREET, WOY WOY, NSW, 2256","45 Hillview St, Woy Woy NSW 2256, Australia",160,160
Resthaven Marion,Resthaven Marion,"10 Township ROAD, MARION, SA, 5043","10 Township Rd, Marion SA 5043, Australia",159,159
BlueWave Living,BlueWave Living,"6 Kathleen STREET, WOY WOY, NSW, 2256","6 Kathleen St, Woy Woy NSW 2256, Australia",159,159
Bathurst Riverview Care Community,Bathurst Riverview Care Community,"93 Stanley STREET, BATHURST, NSW, 2795","93 Stanley St, Bathurst NSW 2795, Australia",158,158
Bolton Clarke Claremont Terrace,Bolton Clarke Claremont Terrace,"231-253 Mckinnon ROAD, MCKINNON, VIC, 3204","Claremont Terrace Ret Vlg, 231 McKinnon Rd, McKinnon VIC 3204, Australia",157,157
"Jewish Care (Vic) Inc. Residential Homes, Windsor","Jewish Care (Vic) Inc. Residential Homes, Windsor","619 St Kilda ROAD, MELBOURNE, VIC, 3004","619 St Kilda Rd, Melbourne VIC 3181, Australia",156,156
Lutheran Services - Trinder Park,Lutheran Services - Trinder Park,"10 Laurel STREET, WOODRIDGE, QLD, 4114","Trinder Park, 10 Laurel St, Woodridge QLD 4114, Australia",156,156
Ozcare Caroline Chisholm,Ozcare Caroline Chisholm,"28 Saffron DRIVE, CURRIMUNDI, QLD, 4551","28 Saffron Dr, Currimundi QLD 4551, Australia",156,156
